device_ip,port_number,protocol_used,packets_received,packets_forwarded,unusual_login_attempts,resources_shared,device_type,cpu_usage,memory_usage,storage_usage,device_uptime,os_version,connection_status,latency,error_rate,bandwidth_usage,data_transferred,security_level,vpn_status,firmware_version,last_maintenance_date,label,attack_type
192.168.3.41,40876,TCP,3371,1102,6,10,PC,83.69910387,25.18178905,35.94701392,55745,macOS,sleeping,109.9069752,0.380189717,596.9651558,5074.646613,medium,enabled,v1.7.0,10/14/2021,0,None
192.168.3.157,8241,HTTPS,4889,3035,1,19,PC,6.960074609,70.19066283,54.42300389,37054,Windows 10,inactive,9.153742175,2.445430572,318.3009527,6520.270897,high,enabled,v3.7.7,7/27/2019,0,None
192.168.1.104,46646,TCP,5628,2843,3,28,PC,99.98228031,60.09180765,63.71408977,42123,Android,active,472.8322282,0.903550177,199.7520243,113.6238135,low,disabled,v1.9.6,6/22/2021,0,None
192.168.4.0,41726,HTTP,177,3773,10,12,server,74.75953245,69.4945504,7.905560305,81468,Windows 10,active,94.24755663,4.36980424,122.6947359,5554.580929,medium,disabled,v1.7.5,8/23/2019,0,None
192.168.4.225,39771,HTTPS,8105,4274,7,22,mobile,81.24471581,7.84610608,92.53124221,91248,iOS,inactive,3.597117278,2.506154427,593.3699779,9191.394193,high,disabled,v9.3.1,10/9/2019,0,None
192.168.4.73,62894,HTTPS,7515,3561,5,29,IOT device,89.74354902,33.27885795,12.36750654,92316,iOS,active,114.8842462,2.288944178,370.6801134,2177.162077,low,disabled,v8.5.6,8/6/2019,1,Malware Infection
192.168.2.188,13196,UDP,7281,4259,5,42,PC,95.67239163,7.596057233,57.98134495,45569,Android,sleeping,115.2391736,2.925956221,916.5027127,3559.828114,medium,disabled,v3.6.7,10/24/2020,0,None
192.168.2.51,57497,FTP,7652,1126,4,22,IOT device,36.02186828,49.51177068,49.04641793,83408,iOS,inactive,395.8064152,0.663188764,838.0519548,6618.835283,medium,disabled,v2.9.9,8/25/2021,1,Malware Infection
192.168.3.219,2278,SMTP,9317,2132,0,28,IOT device,72.57710039,54.08746274,17.03907396,51131,Android,active,78.46781493,2.273471671,267.5676993,5730.595519,high,enabled,v1.3.2,7/12/2023,0,None
192.168.1.0,32556,SMTP,9502,3231,10,30,server,89.67365005,52.65826945,60.50391334,30826,Android,active,300.1094845,2.042837861,557.9455672,7354.961708,high,enabled,v9.1.6,8/4/2019,0,None
192.168.4.161,19312,SMTP,1026,207,10,33,mobile,13.28205876,87.34490686,88.40393149,80959,Windows 10,inactive,113.3228402,1.554059506,192.8716918,8439.621595,medium,enabled,v7.0.3,9/22/2021,0,None
192.168.1.197,42399,UDP,5850,1178,8,50,PC,56.50197284,36.05934373,60.64221696,59888,Android,inactive,403.5357645,1.855960745,256.6376273,7001.590145,high,enabled,v1.2.2,8/21/2020,0,None
192.168.3.209,19363,HTTP,3092,3528,7,19,mobile,18.37788546,73.65812077,65.8257757,34405,Android,sleeping,125.0977009,3.157001606,472.1327485,5868.468245,low,disabled,v1.2.5,2/24/2023,0,None
192.168.2.56,41096,SMTP,1568,2111,5,35,IOT device,70.90112077,35.1882238,58.78725367,97883,Windows 10,sleeping,49.78565361,0.132379647,917.8035571,4979.566239,medium,disabled,v5.0.7,7/7/2023,0,None
192.168.2.0,49007,UDP,1015,1799,7,26,server,16.98855909,48.25140267,18.15384473,56183,Android,sleeping,213.7151151,4.936193375,886.3731251,8894.271024,high,enabled,v8.5.9,2/2/2023,0,None
192.168.1.211,46948,HTTPS,2168,3459,2,19,mobile,53.90562014,73.43957001,8.132427726,23233,Windows 10,sleeping,236.0379645,1.080045285,952.1610991,1863.03831,high,disabled,v5.9.9,12/17/2021,0,None
192.168.4.213,40677,HTTPS,6453,3611,0,31,IOT device,63.36873043,92.88888359,91.95144288,99556,Linux,active,391.0811027,4.408151687,779.2808154,5177.670904,high,disabled,v3.4.7,5/12/2023,0,None
192.168.3.0,24794,HTTP,9502,1616,1,33,server,96.62291671,66.34962181,8.541141095,28555,Android,inactive,337.8851074,1.37429926,929.5802289,2441.685142,high,disabled,v2.0.3,4/28/2019,0,None
192.168.2.168,1309,UDP,5799,2447,7,22,PC,35.77264193,99.82933421,10.45330757,46731,iOS,active,380.0642288,4.591241403,514.4748718,5490.672391,low,disabled,v5.0.9,2/20/2019,0,None
192.168.4.199,5367,TCP,8365,3553,6,12,IOT device,79.41555387,37.95495513,0.574665316,22342,iOS,inactive,240.224773,1.731286104,576.7743487,5954.591051,high,disabled,v9.0.1,10/15/2021,1,DDOS
192.168.4.235,51375,TCP,981,2614,9,42,mobile,54.25372678,77.2215664,38.39834124,18844,iOS,sleeping,119.9506076,1.796424295,999.4342574,9335.240265,low,disabled,v1.4.4,11/18/2022,0,None
192.168.1.167,62503,HTTPS,4770,243,10,28,PC,12.28168365,12.53299429,63.05035699,77916,Windows 10,sleeping,379.424343,3.490250808,756.0137357,9847.173645,low,enabled,v9.1.1,11/10/2021,0,None
192.168.4.147,27476,HTTP,2921,3193,7,13,mobile,41.83555142,14.58502957,39.57534142,96282,Android,inactive,387.3245193,0.582773956,872.1206948,189.5507828,medium,disabled,v10.0.8,3/3/2020,0,None
192.168.4.168,62404,TCP,1271,797,5,31,mobile,10.26055735,71.36665687,33.98400934,66994,Linux,active,154.8517717,3.296362181,379.3098802,6106.536561,high,enabled,v6.0.4,1/18/2023,0,None
192.168.4.124,28977,FTP,9604,1468,6,30,mobile,82.69967058,15.05684174,47.85931056,28225,Windows 10,inactive,256.3785911,3.717753133,8.204664408,3196.26948,low,disabled,v9.4.8,11/21/2023,0,None
192.168.4.189,44383,FTP,5658,2523,1,6,mobile,79.51498844,91.86788832,26.62257638,81348,iOS,sleeping,489.6856261,0.367866692,325.4958099,2104.676646,high,disabled,v4.4.9,12/1/2020,0,None
192.168.3.242,38135,UDP,4489,1203,7,13,IOT device,11.43049223,17.33220664,58.59694102,73541,macOS,inactive,461.8121213,4.104313631,426.0775679,7001.500721,high,enabled,v10.1.4,12/1/2021,1,Brute Force
192.168.4.227,41804,HTTPS,3535,3500,8,7,PC,7.906367105,47.96131776,98.91418337,53322,Android,sleeping,90.72549847,3.162207375,762.013132,580.2412776,medium,enabled,v2.2.3,1/20/2023,0,None
192.168.2.206,35497,FTP,6950,3671,2,0,mobile,27.13937943,48.55202456,83.16892384,56787,iOS,active,459.1229378,3.282406315,133.1900882,2069.838116,medium,disabled,v1.9.8,9/28/2020,0,None
