device_ip,port_number,protocol_used,packets_received,packets_forwarded,unusual_login_attempts,resources_shared,device_type,cpu_usage,memory_usage,storage_usage,device_uptime,os_version,connection_status,latency,error_rate,bandwidth_usage,data_transferred,security_level,vpn_status,firmware_version,last_maintenance_date,label,attack_type
192.168.1.56,60546,FTP,442,2802,2,9,mobile,78.53394041,38.60106506,78.47121476,76181,Android,inactive,358.6062532,1.105222979,93.5985231,2401.522926,medium,enabled,v2.4.1,1/7/2023,0,None
192.168.5.137,27306,TCP,1228,3139,1,18,mobile,45.79564252,87.62511165,41.84703939,64564,iOS,sleeping,150.5521746,4.16818032,218.2593295,6590.832348,high,disabled,v9.9.5,9/6/2022,0,None
192.168.5.0,50320,TCP,918,3093,0,0,server,15.99582066,20.24483942,86.53128498,53972,Linux,active,392.9178025,3.864274687,676.5969337,7119.923194,medium,disabled,v8.7.2,5/6/2019,0,None
192.168.10.0,23937,TCP,626,2722,2,23,server,15.42942707,0.585172288,69.43683132,48648,Linux,inactive,394.9094027,4.545708685,925.7528224,7239.327059,low,disabled,v9.8.5,4/15/2019,0,None
192.168.10.195,35215,HTTP,1491,2739,5,42,mobile,18.19610128,53.62060951,97.9138653,65112,iOS,sleeping,217.4665048,4.145246466,490.3845938,8963.774582,high,enabled,v6.2.4,1/21/2023,1,Data Exfiltration
192.168.5.217,42708,SMTP,627,3960,3,41,PC,82.75822904,77.56327986,79.63974846,24607,Windows 10,inactive,491.8900314,0.015349317,43.47595256,2375.932474,high,disabled,v3.6.7,5/24/2020,0,None
192.168.1.142,10529,FTP,8995,4313,3,44,IOT device,53.48525117,79.57439846,10.58337166,56471,Windows 10,active,195.6036338,3.654322233,262.3439783,5546.784603,high,disabled,v10.9.8,9/1/2019,0,None
192.168.10.83,43354,HTTP,5776,3613,5,43,PC,71.43228164,22.45169004,81.04243563,89651,iOS,active,374.3120548,0.923811473,131.2097359,624.8597632,high,enabled,v3.9.7,3/5/2019,0,None
192.168.1.0,8952,SMTP,2892,2833,5,30,server,46.99808803,38.80265307,69.8129399,56883,macOS,sleeping,221.2760167,4.777274905,356.2047655,2640.312678,low,disabled,v3.6.8,3/18/2019,0,None
192.168.10.81,38386,TCP,6003,4007,9,9,IOT device,23.61187849,18.41996264,28.46124117,9615,macOS,sleeping,464.4013651,2.801601628,36.80981132,1069.14707,medium,enabled,v6.6.0,1/16/2019,1,DDOS
192.168.10.164,39428,FTP,8678,1127,5,49,IOT device,88.38166574,22.49050304,71.89261538,34684,Android,sleeping,408.9700065,4.208922326,81.30069395,8131.549195,high,disabled,v4.4.1,9/2/2020,0,None
192.168.1.173,30247,HTTP,7915,276,1,20,IOT device,95.68914518,30.96199976,75.13647557,23653,iOS,sleeping,308.513388,4.3813276,426.3985374,9757.92275,medium,enabled,v1.0.1,10/4/2022,0,None
192.168.10.18,59093,FTP,2321,387,6,7,IOT device,34.02915338,48.57023017,56.77801802,38906,Linux,active,401.1041359,0.935783039,351.5837649,5072.506897,high,enabled,v4.0.8,4/14/2023,0,None
192.168.1.193,49026,HTTPS,5414,165,9,19,PC,74.71834461,19.92634915,79.65104863,59778,iOS,active,367.1350938,2.161212931,148.406998,1945.95611,high,disabled,v6.3.1,4/3/2023,1,Brute Force
192.168.1.37,44856,FTP,9694,244,2,1,PC,3.173994028,24.25945711,82.45048631,39501,iOS,sleeping,417.622845,0.685614473,244.0550465,1138.476688,low,disabled,v7.1.4,5/2/2023,1,DDOS
192.168.10.13,28618,UDP,8452,1064,2,33,mobile,68.2176353,15.45295936,4.322650103,97038,Android,sleeping,288.0673115,0.503106588,10.965343,6352.730073,low,enabled,v8.6.6,2/4/2023,0,None
192.168.10.38,12271,SMTP,8610,911,0,6,PC,4.255846889,42.15658836,95.21913478,56890,Windows 10,inactive,292.5350873,1.74991555,292.9460333,2376.606528,low,disabled,v6.8.7,4/22/2023,0,None
192.168.5.121,65375,TCP,8523,3109,10,45,PC,22.97828949,84.66712781,47.33667973,30536,Android,inactive,208.1518555,2.82379765,83.40685451,7084.093118,low,enabled,v5.3.8,10/11/2023,0,None
192.168.5.62,25102,FTP,7966,2160,2,4,IOT device,93.40868441,36.48339798,38.6503814,47634,Linux,inactive,82.86609127,3.59711626,65.59038344,6476.985492,medium,disabled,v1.3.0,7/17/2022,0,None
192.168.5.202,18938,SMTP,3396,3474,2,13,PC,82.97961037,4.131365564,80.68137823,5471,Windows 10,inactive,436.8847129,2.323575066,64.28459163,737.4181754,high,enabled,v2.0.5,11/26/2021,0,None
192.168.10.158,12685,HTTPS,213,2937,1,24,PC,80.02258653,2.928204407,62.23700049,48802,Linux,inactive,447.9224744,2.981848561,651.2880346,8577.625747,high,disabled,v1.5.1,12/23/2022,0,None
192.168.10.199,14920,FTP,6996,2784,6,4,PC,27.18320851,19.77488405,66.17191091,25107,iOS,active,61.41498902,2.507131823,754.3264895,333.5407367,medium,enabled,v2.2.1,12/16/2021,0,None
192.168.10.229,7557,SMTP,9373,1773,10,45,IOT device,26.16820412,97.74525963,19.57962116,35773,macOS,active,198.787984,1.485764564,647.6019297,6082.917281,medium,disabled,v4.3.0,5/5/2021,0,None
192.168.1.130,65376,HTTPS,6694,2811,1,18,mobile,20.27152396,73.12170429,20.01289887,47863,iOS,inactive,295.0438383,2.547474886,910.8770697,2010.738817,low,enabled,v10.4.1,9/19/2023,0,None
192.168.1.85,18044,FTP,3693,1993,8,0,PC,78.05704616,11.6112112,19.4905391,98826,Android,inactive,459.9378958,1.313430793,543.6283828,1734.879719,medium,enabled,v7.0.8,9/13/2023,0,None
192.168.5.80,22820,TCP,7819,4157,8,11,IOT device,50.51337741,64.61340713,28.31668255,87773,Windows 10,sleeping,98.81691295,1.913312663,796.6350826,2763.89861,high,enabled,v7.7.5,2/1/2019,0,None
192.168.1.238,1477,HTTP,4823,2392,5,14,mobile,87.45926841,53.42267868,19.47936966,20980,Android,active,186.1811787,1.871407578,628.6236857,4884.947056,low,enabled,v2.6.0,1/11/2021,1,Unknown Attack
192.168.10.36,18880,HTTPS,585,2570,5,18,mobile,48.83303936,93.51603565,81.93201062,32472,iOS,inactive,320.591694,4.329699356,132.6819921,6489.970986,low,enabled,v7.4.6,9/10/2021,1,Malware Infection
192.168.10.175,4999,HTTP,5235,4772,0,34,PC,57.1703664,80.3801706,94.66911156,21098,iOS,inactive,9.129635935,3.560720923,751.8288906,7089.302552,high,enabled,v10.5.8,11/27/2022,1,DDOS
192.168.5.16,54701,HTTP,6981,4316,7,12,mobile,63.6553685,91.14081275,27.55405775,72727,iOS,inactive,359.8589273,4.338572998,587.4731104,7805.569859,low,enabled,v4.0.6,5/4/2021,0,None
192.168.5.14,46335,SMTP,2818,1839,4,48,IOT device,80.22900382,23.12305065,76.66563718,39597,macOS,active,259.1741131,1.681014893,918.1059589,5265.249794,high,enabled,v4.9.8,11/17/2020,0,None
192.168.1.224,43302,TCP,3321,4524,7,15,IOT device,39.71731078,3.494017322,37.79111036,46199,Linux,sleeping,326.6443042,4.097444381,692.2070205,5511.435618,medium,enabled,v5.6.4,8/15/2020,0,None
192.168.10.191,12380,HTTP,2132,2708,9,31,PC,81.83137792,76.17531768,77.49103963,48608,Linux,active,126.7007583,4.487403216,328.7292749,5025.263363,high,disabled,v6.8.9,6/15/2020,0,None
